(INR Crores/10 Millions),,,EICHER MOTORS LTD,,,,,,,,Mar-26,<< Latest available quarterly results,,,,,,,,,,,,,
Narration,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,Last 4 Quarters,Total 10 Yrs,Growth Trends:,10Yr,7Yr,5Yr,3Yr,TTM,,,,,,,
NOPAT,2174.31,2808.63,2904.24,2182.89,1783.23,2177.57,3445.72,4329.37,4722.57,5785.07,Cash+Investments,"17,752 ",0,"Closing share price on March 31, 10 years back",,,,,,,,,,,
Invested Capital,445 ,388 ,"1,218 ","1,531 ","1,925 ","2,273 ","2,192 ","4,792 ","6,701 ","7,862 ",FCF/CFO,70%,Tot Div," 8,869.95 ",,,,,,,,,,,
Capital Employed,5456.92,7180.91,9105.48,10229.93,11657.33,12715.71,15278.69,18464.97,21754.62,25614.1,SG to Capex,0.47 ,Rise in Debt,, 402 ,,,,,,,,,,
Self-Sustainable Growth Rate (SSGR),,,,90%,51%,32%,32%,50%,65%,68%,CFO / PAT,93.41%,,,,,,,,,,,,,
Capex Ratio,102.08%,86.41%,41.88%,89.04%,96.12%,64.39%,84.91%,76.11%,61.83%,61.69%,Capex to CFO,30.15%,,,,,,,,,,,,,
Equity Ratio,#REF!,73.83%,78.32%,80.17%,78.57%,78.12%,78.08%,78.07%,78.37%,78.04%,CFO/EBIDTA,61.68%,Average,,,,,,,,,,,,
"PBT/Avg. NFA (<10%,>25%), ROA",,37.69%,31.54%,19.76%,13.32%,14.35%,21.50%,24.59%,23.60%,23.94%,22.08%,,22.75%,,,,,,,,,,,,
"ROE on Avg Equity (<7%,>25%)",,31.67%,27.62%,19.34%,12.58%,13.94%,21.12%,24.22%,24.07%,23.77%,21.97%,,22.01%,,,,,,,,,,,,
"ROCE (EBIT on Avg CE/TA) (<10%,>35%)",,49.39%,40.58%,24.55%,16.58%,18.23%,27.35%,31.13%,29.77%,30.29%,30.29%,,28.84%,,,,,,,,,,,,
ROIC,385.76%,562.64%,182.74%,120.35%,70.61%,74.40%,133.89%,84.32%,71.30%,70.86%,70.86%,Post Tax,105.41%,,,,,,,,,,,,
Inventory to Sales,4.78%,4.40%,6.47%,6.25%,10.03%,11.00%,8.85%,8.52%,8.29%,8.41%,,,8.12%,,,,,,,,,,,,
Ac Recivable to Sales,0.71%,0.76%,0.86%,0.95%,1.81%,2.93%,2.55%,2.26%,2.91%,1.51%,,,1.84%,,,,,,,,,,,,
Incremental ROE 3Yr Rolling,,,,3%,-12%,-12%,31%,68%,55%,36%,,,,,,,,,,,,,,,
Divident Cover Ratio,0.23,0.24,0.24,0.20,0.11,0.11,0.11,0.10,0.09,0.09,Divident Paid from Eps Cover,,,,,,,,,,,,,,
Net Fixed Asset Turnover (High is better),, 7.55 , 5.80 , 4.31 , 3.63 , 4.24 , 5.65 , 5.90 , 5.91 , 5.96 ,,,Div Growth,26%,31%,37%,31%,,,,,,,,
Receivables days (Low is better),, 2 , 3 , 3 , 5 , 8 , 8 , 8 , 9 , 7 ,Ope Profit/Ope Cash F,,Growth,50%,,40%,,,,,,,,,
Inventory Turnover (High is better),,24.54,19.06,15.18,12.05,10.26,11.98,12.30,12.69,13.26,sG to Capex,,NEW PAT,8272.85,,7721.32,,,,,,,,,
Net Fixed Assets (NFA),873 ,"1,502 ","1,875 ","2,378 ","2,433 ","2,424 ","2,690 ","2,914 ","3,473 ","4,385 ",4823.412,,DIFFRENCE,,551.52,,,,,,,,,,
Capital Work in Progress (CWIP),374 ,333 ,450 ,312 ,314 ,505 ,472 ,555 ,491 ,203 ,,,DEBT EFFECT,,15.37%,,,,,,,,,,
Share Capital,27.21,27.26,27.28,27.30,27.33,27.34,27.35,27.38,27.42,27.43,,,DEBT REQUIRED,,3587.31,,,,,,,,,,
Dividend Paid (Div) Without DDT, 272 , 300 , 341 , 341 , 465 , 574 ," 1,012 "," 1,396 "," 1,919 "," 2,249 ",Total Div 10 Yrs," 8,870 ",Debt,18%,16%,19%,21%,,,,,,,,
Dividend Payout (Div/PAT),16%,15%,15%,19%,34%,34%,35%,35%,41%,41%,,,Book Value,19%,16%,17%,19%,,,,,,,,
Retained Earnings (RE=PAT-Div),"1,395 ","1,660 ","1,862 ","1,486 ",882 ,"1,102 ","1,902 ","2,605 ","2,815 ","3,266 ",,,,,,,,,,,,,,,
Retention Ratio,84%,85%,85%,81%,66%,66%,65%,65%,59%,59%,,,,,,,,,,,,,,,
Divident Yeild,0.39%,0.39%,0.61%,0.95%,0.65%,0.85%,1.25%,1.27%,1.31%,1.25%,,,Retention CAGR,10%,8%,30%,20%,196%,,,,,,,
Earnings Yeild,2.39%,2.53%,3.93%,5.11%,1.89%,2.50%,3.61%,3.64%,3.23%,3.05%,2.64%,PE to Growth,,,,,,,,,,,,,
P/E Ratio, 41.8 , 39.5 , 25.4 , 19.6 , 52.8 , 40.1 , 27.7 , 27.5 , 31.0 , 32.8 , 37.9 ,1.12,Lower the Better,,,,,,,,,,,,
P/S, 9.9 , 8.6 , 5.7 , 3.9 , 8.2 , 6.5 , 5.6 , 6.7 , 7.8 , 7.7 , 8.9 ,,,,,,,,,,,,,,
P/B, 13.0 , 11.0 , 6.3 , 3.6 , 6.2 , 5.3 , 5.4 , 6.1 , 6.9 , 7.2 ,,,,,,,,,,,,,,,
P/Cf, 40.8 , 31.2 , 35.6 , 21.1 , 42.1 , 44.0 , 28.6 , 29.6 , 36.8 , 37.6 , 43.5 , TTM ,TAX Cagr,9%,6%,29%,21%,0%,,,,,,,
P/Fcf,, 46.3 , 71.3 , 37.8 , 60.2 , 75.2 , 39.1 , 39.0 , 53.2 , 54.1 ,,,PBT Cagr,13%,12%,32%,23%,0%,,,,,,,
PEG Ratio,,,,,,,,1.96,2.21,2.34,2.70,,Depriciation Cagr,21%,16%,13%,17%,0%,,,,,,,
Enterprise Value," 64,723.2 "," 70,702.0 "," 48,353.1 "," 27,314.5 "," 61,652.7 "," 56,843.1 "," 67,853.2 "," 96,794.6 "," 132,038.2 "," 163,416.0 "," 191,542.5 ",,Other Income Cagr,20%,18%,36%,35%,0%,,,,,,,
EV/EBIDTA, 25.0 , 21.1 , 13.4 , 9.9 , 27.2 , 21.3 , 15.6 , 16.5 , 19.7 , 20.4 , 23.8 ,,Interest Cost Cage,40%,38%,34%,37%,0%,,,,,,,
Sales / Equity, 1.3 , 1.3 , 1.1 , 0.9 , 0.8 , 0.8 , 1.0 , 0.9 , 0.9 , 0.9 , 0.9 ,,,,,,,,,,,,,,
Mcap," 69,624 "," 77,344 "," 56,054 "," 35,765 "," 71,166 "," 67,178 "," 80,651 "," 110,048 "," 146,634 "," 180,654 ","208,781 ",390 ,Mcap Cagr,11%,18%,20%,31%,16%,,,,,,,
Cash + Investments (CI +NCI),"5,012 ","6,793 ","7,888 ","8,699 ","9,733 ","10,443 ","13,086 ","13,673 ","15,054 ","17,752 ","17,752 ",,,,,,,,,,,,,,
Stock Price,2558.75,2837.27,2054.77,1309.59,2603.95,2457.15,2948.85,4019.30,5347.70,6586.00,7611.39,,RE * ROE,,,,,,,,,,,,
,,,,,,,Fair Value PE average year,,,22.12,,,,,,,,,,,,,,,
Earnings Power Value,,,,,,,,,,,,,,,,,,,,,,,,,
NOPAT,1530.70,1964.93,1955.59,1693.96,1335.54,1657.62,2642.53,3329.83,3768.49,4492.50,4492.50,,,,,,,,,,,,,,
Depriciation  - Maintaince Capex,-38.45,-55.83,-75.07,-95.39,-112.68,-112.98,-131.55,-149.40,-182.33,-210.09,-210.09,CMP," 7,611 ",,TTM,,,,,,,,,,
,,,,,,,,,,,,NOPAT / EV,3.02%,,No Pat / Enterprise Value,,,,,,,,,,
Adjusted Earnings,1492.24,1909.10,1880.52,1598.58,1222.85,1544.63,2510.97,3180.43,3586.16,4282.41,4282.41,,,,,,,,,,,,,,
EPV,421.86,538.72,530.26,450.27,344.18,434.59,706.22,893.53,"1,006.05","1,200.93","1,200.93",5ySales," 16,711 ",,,,,,,,,,,,
Book Value,196.44,257.89,326.93,365.47,418.52,461.16,548.09,659.08,776.68,915.06,915.06,5yPPx," 1,811 ",,,,,,,,,,,,
EPV+Book (Per Share Basis),618.30,796.61,857.19,815.73,762.70,895.75,"1,254.31","1,552.61","1,782.73","2,115.99","2,115.99",multiplier,10.84%,,,,,,,,,,,,
Maintaince Capex,,,,,,-180.01,-183.52,-2.54,306.04,419.64,438.49,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Operating CF/Operating Profits,,88.38%,54.25%,77.61%,94.83%,70.13%,81.92%,86.01%,84.27%,83.06%,,,,,,,,,,,,,,,
Total Debt (D), 112 , 151 , 187 , 249 , 219 , 108 , 288 , 419 , 458 , 514 ,,,,,,,,,,,,,,,
Total Equity (E),"5,345 ","7,030 ","8,919 ","9,981 ","11,438 ","12,608 ","14,990 ","18,046 ","21,296 ","25,100 ","25,100 ",,BV CAGR,19%,16%,17%,19%,0%,,,,,,,
Equity,27.21 ,27.26 ,27.28 ,27.30 ,27.33 ,27.34 ,27.35 ,27.38 ,27.42 ,27.43 ,,,,,,,,,,,,,,,
Debt to Equity ratio (D/E),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
Cost of funds,13.0%,,,,,,,,,,,,,,,,,,,,,,,,
Interest outgo (Rs. Cr.),,17,22,28,30,21,26,46,57,63,,,,,,,,,,,,,,,
Interest Coverage (OP/Int. Out),,164.5,132.3,77.1,58.6,102.5,133.8,94.1,82.8,91.6,,,,,,,,,,,,,,,
No. of Equity Shares, 27.21 , 27.26 , 27.28 , 27.31 , 27.33 , 27.34 , 27.35 , 27.38 , 27.42 , 27.43 , 27.43 ,,,,,,,,,,,,,,
,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,,Total 10 Yrs,,,,,,,,,,,,,
Cash from Operating Activity (CFO)," 1,708 "," 2,482 "," 1,575 "," 1,694 "," 1,691 "," 1,527 "," 2,823 "," 3,724 "," 3,980 "," 4,805 ",," 26,009 ",,,,,,,,,,,,,
Cash from Investing Activity (CFI),"(1,744)","(2,145)",(660),"(1,508)","(1,625)",(983),"(2,397)","(2,834)","(2,461)","(2,964)",,"(19,321)",,,,,,,,,,,,,
