 COMPANY NAME , EICHER MOTORS LTD ,,,  ,,,,,,
 LATEST VERSION , 2.10 ,,, PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET ,,,,,,
 CURRENT VERSION , 2.10 ,,,,,,,,,
,,,,,,,,,,
 META ,,,,,,,,,,
 Number of shares , 27.43 ,,,,,,,,,
 Face Value ,1,,,,,,,,,
 Current Price ,7611,,,,,,,,,
 Market Capitalization ,208780.54,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 PROFIT & LOSS ,,,,,,,,,,
 CASH FLOW: ,,,,,,,,,,
Report Date,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26
 Cash from Operating Activity ,1707.97,2482.25,1575.47,1694.12,1690.97,1527.04,2822.66,3723.71," 3,979.92 ",4804.84
 Cash from Investing Activity ,-1743.58,-2145.02,-659.88,-1508.41,-1625.3,-983.25,-2396.8,-2833.93,-2460.68,-2963.98
 Cash from Financing Activity ,25.29,-262.01,-292.3,-858.25,-14.76,-593.36,-417.44,-844.36," (1,398.67)",-1982.87
 Net Cash Flow ,-10.32,75.22,623.29,-672.54,50.91,-49.57,8.42, 45.42 , 120.57 ,-142.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
 PRICE: ,2558.75,2837.27,2054.77,1309.59,2603.95,2457.15,2948.85,4019.3,5347.7,6586
,,,,,,,,,,
 DERIVED: ,,,,,,,,,,
 Adjusted Equity Shares in Cr , 27.21 , 27.26 , 27.28 , 27.31 , 27.33 , 27.34 , 27.35 , 27.38 , 27.42 , 27.43 
